GR	log10(LLD)	log10(MSFL)	DT	RHOB	NPHI	PEF	POR	Kg	ln(Kg)
17.64	2.1274	2.1074	53.69	2.64	0.02	5.08	5.2	8.284	2.114
11.2	2.4186	2.574	50.13	2.66	0.01	4.73	2.3	4.141	1.421
26.91	1.6013	1.7998	55.56	2.63	0.04	4.55	3.1	0.242	-1.417
25.33	1.8035	1.9856	51.38	2.61	0.02	4.96	4.3	0.53	-0.634
34.31	1.7083	1.927	54.5	2.58	0.05	4.59	5.6	1.032	0.032
35.25	1.5985	1.6024	54.06	2.57	0.05	4.9	7	2.045	0.716
29.63	1.653	2.0896	53	2.55	0.03	4.89	6.3	3.378	1.217
26.14	1.5426	1.9168	58.44	2.62	0.07	4.9	5.2	0.385	-0.954
26.5	1.3292	1.4898	61.44	2.55	0.12	4.72	9.5	2.96	1.085
27.84	1.2878	1.9431	61.38	2.45	0.13	4.71	12.7	3.876	1.355
27.59	1.3075	1.3454	61.31	2.55	0.11	4.86	10.6	1.258	0.23
28.3	1.351	1.6799	59.63	2.51	0.11	4.66	8.8	1.195	0.178
37.22	1.131	1.012	59.19	2.57	0.08	4	7	0.69	-0.371
38.06	1.7482	1.9429	54	2.64	0.04	5.24	2.3	1.62	0.483
35.66	1.6291	2.1536	53.81	2.62	0.03	5.18	3.7	13.53	2.605
31.17	1.6713	1.8816	53.31	2.64	0.03	5.09	8.7	18.174	2.9
31.78	1.8696	1.9627	51.88	2.62	0.02	4.97	5.1	7.839	2.059
33.72	2.0164	1.9393	50.13	2.64	0.01	4.93	4.8	6.194	1.824
38.78	2.1364	2.2282	51.5	2.68	0.01	5.11	3.5	5.261	1.66
43.16	1.9274	1.9522	53.06	2.67	0.01	5.22	1.2	0.363	-1.014
42.34	1.6528	2.2527	54.31	2.6	0.03	4.99	6.3	11.921	2.478
42.47	1.6132	1.3971	53.44	2.59	0.04	4.12	6.5	5.909	1.777
45.84	1.3899	1.4893	55.94	2.54	0.05	4.08	10.7	3.465	1.243
44.88	1.426	1.8948	55.63	2.6	0.06	5.02	4.5	0.478	-0.737
19.08	2.1847	1.5437	56	2.6	0.07	4.99	6.2	1.755	0.562
17.61	2.2404	1.7209	55.5	2.6	0.07	5	6.1	2.045	0.715
19.3	2.3768	1.574	54.25	2.63	0.06	5.33	5.2	1.342	0.294
17.45	2.2991	2.1123	56.5	2.6	0.08	5.05	8.3	0.343	-1.07
17.95	2.1254	1.439	58.38	2.59	0.1	4.63	5.9	0.112	-2.187
16.14	2.1801	1.3952	57.5	2.59	0.09	5.02	8.1	1.997	0.692
19.39	2.1603	1.5993	58.5	2.6	0.09	4.98	7.1	3.734	1.317
25.92	2.3106	1.9632	53.63	2.63	0.06	4.97	5.3	0.651	-0.429
30.5	2.3315	1.4103	52.88	2.68	0.05	5.57	1.1	0.131	-2.034
24.52	2.3123	1.7829	54.13	2.63	0.06	4.86	1.7	0.545	-0.607
22.89	2.1929	1.7511	54.88	2.6	0.09	5.1	7.1	8.614	2.153
23.39	2.259	2.2099	53	2.64	0.05	5.06	2.8	1.241	0.216
24.83	2.3484	1.6462	51.75	2.62	0.06	5	4.9	0.285	-1.257
36.72	2.465	2.0178	52.13	2.65	0.04	4.8	2.2	0.01	-4.605
36.38	2.4028	1.6556	53	2.65	0.06	4.99	7.4	1.255	0.227
32.03	2.4102	2.0555	51.88	2.64	0.07	5.31	6.1	0.604	-0.504
32.91	2.3701	1.8779	52	2.66	0.05	5.19	3.8	1.304	0.265
39.38	2.3127	1.7511	53.13	2.6	0.06	5.28	3.4	0.822	-0.196
43.66	2.5352	2.0886	50.38	2.63	0.04	5.14	3	0.47	-0.755
72.06	2.6459	2.3782	51.25	2.69	0.03	5.47	0.5	0.242	-1.417
53.34	2.4532	1.8751	53.13	2.64	0.05	5.12	4.4	41.229	3.719
84.88	3.1341	1.976	51	2.72	0.02	5.7	0.3	0.16	-1.833
27.17	2.1091	1.9095	51.38	2.58	0.08	5.17	5.1	0.972	-0.028
27.28	2.1382	1.7144	55.88	2.67	0.06	4.84	1.9	0.106	-2.246
27.05	1.9624	1.4291	60.88	2.6	0.1	4.77	5.1	0.024	-3.709
26.78	1.8732	1.3725	65.38	2.52	0.15	4.79	9.8	2.36	0.859
26.42	1.9165	1.0674	65.25	2.45	0.19	4.86	15.9	2.28	0.824
29.41	2.0361	1.2245	59.63	2.53	0.13	5.54	13.4	0.917	-0.087
21.2	2.1265	1.8129	58.25	2.6	0.1	4.93	5.1	0.04	-3.219
22.67	2.028	1.288	62.88	2.51	0.14	4.84	11.1	1.196	0.179
19.67	1.9625	1.1962	65.5	2.47	0.17	4.64	18.2	9.173	2.216
21.31	2.0718	1.5697	57.25	2.53	0.12	5.35	10.8	0.827	-0.19
20.66	2.2477	2.0078	52.75	2.65	0.05	4.99	3.1	1.897	0.64
19.63	2.2342	2.0102	52.88	2.66	0.05	4.85	3.7	0.755	-0.281
13.61	2.4624	2.2279	50.88	2.68	0.03	5.54	3	0.44	-0.82
14.54	2.6574	2.4499	50.38	2.7	0.02	5.55	0.6	0.162	-1.817
21.58	1.9595	1.0896	55.13	2.62	0.06	4.89	3.8	0.02	-3.912
14.54	1.8292	1.578	57.13	2.58	0.09	5.16	3.6	10.877	2.387
13.43	1.7619	1.4706	58.5	2.55	0.11	5.36	5.5	17.146	2.842
15.15	2.474	1.9549	52.25	2.66	0.05	5.28	3.2	14.533	2.676
17.25	2.4211	1.6724	52.38	2.65	0.06	5.08	2.9	12.759	2.546
19.3	2.4048	1.7033	52.25	2.64	0.07	5.17	2.1	0.675	-0.393
18.59	2.3757	1.7941	52.75	2.63	0.06	5.68	4.1	1.2	0.182
21.58	2.3832	1.5973	53.13	2.61	0.07	4.97	6.4	22.045	3.093
17.48	2.4186	1.9011	53	2.62	0.06	5.66	3.5	2.466	0.903
18.58	2.4481	1.8826	52.13	2.63	0.05	5.48	3.9	2.782	1.023
15.66	2.4108	1.7371	52	2.62	0.06	5.18	3.1	2.22	0.798
13.12	2.3128	1.5889	54.75	2.63	0.06	5.32	4.5	0.394	-0.931
12.59	2.2252	1.6435	55.5	2.61	0.06	5.21	5.9	3.622	1.287
14.64	2.1695	1.6057	57	2.55	0.08	5.18	6	4.015	1.39
12.73	2.1237	1.4464	56.63	2.58	0.09	5.34	7.7	5.552	1.714
14.49	2.0935	0.4843	54.88	2.58	0.08	5.82	3.5	0.179	-1.721
14.08	2.2	1.4669	53.13	2.6	0.07	5	3.7	6.693	1.901
16.75	2.3588	1.8388	51.5	2.66	0.04	5.31	4.3	3.219	1.169
21.27	2.384	1.9329	51.38	2.65	0.04	5.27	3.1	0.311	-1.168
21.88	2.4192	2.1896	51.5	2.63	0.05	4.98	3.2	0.099	-2.313
15.59	2.0106	2.2718	52.75	2.66	0.03	5.63	2.5	0.042	-3.16
12.24	1.9901	1.7514	52.88	2.65	0.04	5.42	4.2	0.699	-0.358
11.64	1.9863	1.84	51	2.67	0.05	5.82	3.3	1.1	0.095
13.09	2.1754	2.1214	50.75	2.67	0.03	5.73	3.1	0.432	-0.838
13.81	2.3618	2.3495	51.38	2.67	0.03	5.51	2.2	0.223	-1.502
15.32	2.2295	2.1271	50.88	2.67	0.03	5.53	3.3	0.069	-2.67
14.32	2.3785	2.4931	49.5	2.69	0.02	5.45	3.2	0.363	-1.012
13.64	2.4153	2.4807	50.25	2.69	0.02	5.25	1.1	0.465	-0.765
38.52	2.1337	2.54	52.5	2.62	0.02	5.8	5.66	2.314	0.839
29.49	2.0389	2.0656	45.56	2.64	0.02	5.13	7.85	2.992	1.096
24.59	2.0706	1.5421	56	2.6	0.04	5.13	8.01	1.676	0.517
21.57	2.004	1.6024	64.6	2.58	0.06	5.33	8.22	0.857	-0.155
22.52	2.0708	1.9004	55.9	2.58	0.05	4.69	8.46	1.337	0.29
18.76	1.8581	1.7976	61.4	2.5	0.09	5.11	13.32	4.188	1.432
17.09	1.8498	1.2858	60.6	2.53	0.07	5.06	9.62	2.241	0.807
26.78	2.0067	1.965	57.2	2.58	0.04	4.91	7.27	0.46	-0.777
27.59	2.0178	2.1534	56.1	2.57	0.04	5.01	9.68	1.051	0.049
24.36	1.877	1.8369	56.6	2.58	0.05	5.02	7.75	0.26	-1.347
21.03	1.8641	1.6391	56.5	2.6	0.05	4.6	10.09	2.007	0.697
23.08	1.8101	1.8928	55.4	2.61	0.05	4.77	7.61	0.408	-0.896
21.8	1.7991	2.0771	56.1	2.59	0.06	5.09	6.28	0.737	-0.306
22.52	1.9085	2.0841	56.2	2.62	0.05	5.5	6.02	0.906	-0.099
21.38	1.8755	1.9777	55	2.57	0.05	5.06	9.7	4.035	1.395
22.63	1.8582	1.4738	54.6	2.58	0.04	4.88	3.66	0.902	-0.104
